,Name,Evolution,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Species,Height,Weight,abilities,ev_yield,catch_rate,base_friendship,base_experience,growth_rate,eggs_groups,gender_rate,eggs_cycles_rate
553,Rhyperior, ,Ground Rock,535,115,140,130,55,55,40,Drill Pokémon,2.4 m (7′10″),282.8 kg (623.5 lbs),1. Lightning Rod2. Solid RockReckless (hidden ability),3 Attack,"30 (3.9% with PokéBall, full HP)",50 (normal),241,Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)"
554,Tangrowth, ,Grass ,535,100,100,125,110,50,50,Vine Pokémon,2.0 m (6′07″),128.6 kg (283.5 lbs),1. Chlorophyll2. Leaf GuardRegenerator (hidden ability),2 Defense,"30 (3.9% with PokéBall, full HP)",50 (normal),187,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)"
555,Electivire, ,Electric ,540,75,123,67,95,85,95,Thunderbolt Pokémon,1.8 m (5′11″),138.6 kg (305.6 lbs),1. Motor DriveVital Spirit (hidden ability),3 Attack,"30 (3.9% with PokéBall, full HP)",50 (normal),243,Medium Fast,Human-Like,"75% male, 25% female","25 (6,169–6,425 steps)"
556,Magmortar, ,Fire ,540,75,95,67,125,95,83,Blast Pokémon,1.6 m (5′03″),68.0 kg (149.9 lbs),1. Flame BodyVital Spirit (hidden ability),3 Special Attack,"30 (3.9% with PokéBall, full HP)",50 (normal),243,Medium Fast,Human-Like,"75% male, 25% female","25 (6,169–6,425 steps)"
557,Togekiss, ,Fairy Flying,545,85,50,95,120,115,80,Jubilee Pokémon,1.5 m (4′11″),38.0 kg (83.8 lbs),1. Hustle2. Serene GraceSuper Luck (hidden ability),"2 Special Attack, 1 Special Defense","30 (3.9% with PokéBall, full HP)",50 (normal),245,Fast,"Fairy, Flying","87.5% male, 12.5% female","10 (2,314–2,570 steps)"
558,Yanmega, ,Bug Flying,515,86,76,86,116,56,95,Ogre Darner Pokémon,1.9 m (6′03″),51.5 kg (113.5 lbs),1. Speed Boost2. Tinted LensFrisk (hidden ability),2 Attack,"30 (3.9% with PokéBall, full HP)",50 (normal),180,Medium Fast,Bug,"50% male, 50% female","20 (4,884–5,140 steps)"
559,Leafeon, ,Grass ,525,65,110,130,60,65,95,Verdant Pokémon,1.0 m (3′03″),25.5 kg (56.2 lbs),1. Leaf GuardChlorophyll (hidden ability),2 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),184,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)"
560,Glaceon, ,Ice ,525,65,60,110,130,95,65,Fresh Snow Pokémon,0.8 m (2′07″),25.9 kg (57.1 lbs),1. Snow CloakIce Body (hidden ability),2 Special Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),184,Medium Fast,Field,"87.5% male, 12.5% female","35 (8,739–8,995 steps)"
561,Gliscor, ,Ground Flying,510,75,95,125,45,75,95,Fang Scorp Pokémon,2.0 m (6′07″),42.5 kg (93.7 lbs),1. Hyper Cutter2. Sand VeilPoison Heal (hidden ability),2 Defense,"30 (3.9% with PokéBall, full HP)",50 (normal),179,Medium Slow,Bug,"50% male, 50% female","20 (4,884–5,140 steps)"
562,Mamoswine, ,Ice Ground,530,110,130,80,70,60,80,Twin Tusk Pokémon,2.5 m (8′02″),291.0 kg (641.5 lbs),1. Oblivious2. Snow CloakThick Fat (hidden ability),3 Attack,"50 (6.5% with PokéBall, full HP)",50 (normal),239,Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
563,Porygon-Z, ,Normal ,535,85,80,70,135,75,90,Virtual Pokémon,0.9 m (2′11″),34.0 kg (75.0 lbs),1. Adaptability2. DownloadAnalytic (hidden ability),3 Special Attack,"30 (3.9% with PokéBall, full HP)",50 (normal),241,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)"
564,Gallade, ,Psychic Fighting,518,68,125,65,65,115,80,Blade Pokémon,1.6 m (5′03″),52.0 kg (114.6 lbs),1. SteadfastJustified (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),233,Slow,"Amorphous, Human-Like","100% male, 0% female","20 (4,884–5,140 steps)"
565,Gallade,Mega Gallade,Psychic Fighting,618,68,165,95,65,115,110,Blade Pokémon,1.6 m (5′03″),52.0 kg (114.6 lbs),1. SteadfastJustified (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),233,Slow,"Amorphous, Human-Like","100% male, 0% female","20 (4,884–5,140 steps)"
566,Probopass, ,Rock Steel,525,60,55,145,75,150,40,Compass Pokémon,1.4 m (4′07″),340.0 kg (749.6 lbs),1. Sturdy2. Magnet PullSand Force (hidden ability),"1 Defense, 2 Special Defense","60 (7.8% with PokéBall, full HP)",50 (normal),184,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)"
567,Dusknoir, ,Ghost ,525,45,100,135,65,135,45,Gripper Pokémon,2.2 m (7′03″),106.6 kg (235.0 lbs),1. PressureFrisk (hidden ability),"1 Defense, 2 Special Defense","45 (5.9% with PokéBall, full HP)",35 (lower than normal),236,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)"
568,Froslass, ,Ice Ghost,480,70,80,70,80,70,110,Snow Land Pokémon,1.3 m (4′03″),26.6 kg (58.6 lbs),1. Snow CloakCursed Body (hidden ability),2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),168,Medium Fast,"Fairy, Mineral","0% male, 100% female","20 (4,884–5,140 steps)"
569,Rotom, ,Electric Ghost,440,50,50,77,95,77,91,Plasma Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"1 Special Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),154,Medium Fast,Amorphous,Genderless,"20 (4,884–5,140 steps)"
570,Rotom,Heat Rotom,Electric Fire,520,50,65,107,105,107,86,Plasma Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"1 Special Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),154,Medium Fast,Amorphous,Genderless,"20 (4,884–5,140 steps)"
571,Rotom,Wash Rotom,Electric Water,520,50,65,107,105,107,86,Plasma Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"1 Special Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),154,Medium Fast,Amorphous,Genderless,"20 (4,884–5,140 steps)"
572,Rotom,Frost Rotom,Electric Ice,520,50,65,107,105,107,86,Plasma Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"1 Special Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),154,Medium Fast,Amorphous,Genderless,"20 (4,884–5,140 steps)"
573,Rotom,Fan Rotom,Electric Flying,520,50,65,107,105,107,86,Plasma Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"1 Special Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),154,Medium Fast,Amorphous,Genderless,"20 (4,884–5,140 steps)"
574,Rotom,Mow Rotom,Electric Grass,520,50,65,107,105,107,86,Plasma Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"1 Special Attack, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),154,Medium Fast,Amorphous,Genderless,"20 (4,884–5,140 steps)"
575,Uxie, ,Psychic ,580,75,75,130,75,130,95,Knowledge Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"2 Defense, 1 Special Defense","3 (0.4% with PokéBall, full HP)",140 (higher than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)"
576,Mesprit, ,Psychic ,580,80,105,105,105,105,80,Emotion Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"1 Attack, 1 Special Attack, 1 Special Defense","3 (0.4% with PokéBall, full HP)",140 (higher than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)"
577,Azelf, ,Psychic ,580,75,125,70,125,70,115,Willpower Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"2 Attack, 1 Special Attack","3 (0.4% with PokéBall, full HP)",140 (higher than normal),261,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)"
578,Dialga, ,Steel Dragon,680,100,120,120,150,100,90,Temporal Pokémon,5.4 m (17′09″),683.0 kg (1505.8 lbs),1. PressureTelepathy (hidden ability),3 Special Attack,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
579,Palkia, ,Water Dragon,680,90,120,100,150,120,100,Spatial Pokémon,4.2 m (13′09″),336.0 kg (740.8 lbs),1. PressureTelepathy (hidden ability),3 Special Attack,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
580,Heatran, ,Fire Steel,600,91,90,106,130,106,77,Lava Dome Pokémon,1.7 m (5′07″),430.0 kg (948.0 lbs),1. Flash FireFlame Body (hidden ability),3 Special Attack,"3 (0.4% with PokéBall, full HP)",100 (higher than normal),270,Slow,Undiscovered,"50% male, 50% female","10 (2,314–2,570 steps)"
581,Regigigas, ,Normal ,670,110,160,110,80,110,100,Colossal Pokémon,3.7 m (12′02″),420.0 kg (925.9 lbs),1. Slow Start,3 Attack,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),302,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
582,Giratina,Altered Forme,Ghost Dragon,680,150,100,120,100,120,90,Renegade Pokémon,4.5 m (14′09″),750.0 kg (1653.5 lbs),1. PressureTelepathy (hidden ability),3 HP,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
583,Giratina,Origin Forme,Ghost Dragon,680,150,120,100,120,100,90,Renegade Pokémon,4.5 m (14′09″),750.0 kg (1653.5 lbs),1. PressureTelepathy (hidden ability),3 HP,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
584,Cresselia, ,Psychic ,600,120,70,120,75,130,85,Lunar Pokémon,1.5 m (4′11″),85.6 kg (188.7 lbs),1. Levitate,3 Special Defense,"3 (0.4% with PokéBall, full HP)",100 (higher than normal),270,Slow,Undiscovered,"0% male, 100% female","120 (30,584–30,840 steps)"
585,Phione, ,Water ,480,80,80,80,80,80,80,Sea Drifter Pokémon,0.4 m (1′04″),3.1 kg (6.8 lbs),1. Hydration,1 HP,"30 (3.9% with PokéBall, full HP)",50 (normal),216,Slow,"Fairy, Water 1",Genderless,"40 (10,024–10,280 steps)"
586,Manaphy, ,Water ,600,100,100,100,100,100,100,Seafaring Pokémon,0.3 m (1′00″),1.4 kg (3.1 lbs),1. Hydration,3 HP,"3 (0.4% with PokéBall, full HP)",50 (normal),270,Slow,"Fairy, Water 1",Genderless,"10 (2,314–2,570 steps)"
587,Darkrai, ,Dark ,600,70,90,90,135,90,125,Pitch-Black Pokémon,1.5 m (4′11″),50.5 kg (111.3 lbs),1. Bad Dreams,"2 Special Attack, 1 Speed","3 (0.4% with PokéBall, full HP)",0 (lower than normal),270,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
588,Shaymin,Land Forme,Grass ,600,100,100,100,100,100,100,Gratitude Pokémon,0.2 m (0′08″),2.1 kg (4.6 lbs),1. Natural Cure,3 HP,"45 (5.9% with PokéBall, full HP)",100 (higher than normal),270,Medium Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
589,Shaymin,Sky Forme,Grass Flying,600,100,103,75,120,75,127,Gratitude Pokémon,0.2 m (0′08″),2.1 kg (4.6 lbs),1. Natural Cure,3 HP,"45 (5.9% with PokéBall, full HP)",100 (higher than normal),270,Medium Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
590,Arceus, ,Normal ,720,120,120,120,120,120,120,Alpha Pokémon,3.2 m (10′06″),320.0 kg (705.5 lbs),1. Multitype,3 HP,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),324,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
591,Victini, ,Psychic Fire,600,100,100,100,100,100,100,Victory Pokémon,0.4 m (1′04″),4.0 kg (8.8 lbs),1. Victory Star,3 HP,"3 (0.4% with PokéBall, full HP)",100 (higher than normal),270,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)"
592,Snivy, ,Grass ,308,45,45,55,45,55,63,Grass Snake Pokémon,0.6 m (2′00″),8.1 kg (17.9 lbs),1. OvergrowContrary (hidden ability),1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
593,Servine, ,Grass ,413,60,60,75,60,75,83,Grass Snake Pokémon,0.8 m (2′07″),16.0 kg (35.3 lbs),1. OvergrowContrary (hidden ability),2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),145,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
594,Serperior, ,Grass ,528,75,75,95,75,95,113,Regal Pokémon,3.3 m (10′10″),63.0 kg (138.9 lbs),1. OvergrowContrary (hidden ability),3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),238,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)"
595,Tepig, ,Fire ,308,65,63,45,45,45,45,Fire Pig Pokémon,0.5 m (1′08″),9.9 kg (21.8 lbs),1. BlazeThick Fat (hidden ability),1 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
596,Pignite, ,Fire Fighting,418,90,93,55,70,55,55,Fire Pig Pokémon,1.0 m (3′03″),55.5 kg (122.4 lbs),1. BlazeThick Fat (hidden ability),2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),146,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
597,Emboar, ,Fire Fighting,528,110,123,65,100,65,65,Mega Fire Pig Pokémon,1.6 m (5′03″),150.0 kg (330.7 lbs),1. BlazeReckless (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),238,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
598,Oshawott, ,Water ,308,55,55,45,63,45,45,Sea Otter Pokémon,0.5 m (1′08″),5.9 kg (13.0 lbs),1. TorrentShell Armor (hidden ability),1 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
599,Dewott, ,Water ,413,75,75,60,83,60,60,Discipline Pokémon,0.8 m (2′07″),24.5 kg (54.0 lbs),1. TorrentShell Armor (hidden ability),2 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),145,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
600,Samurott, ,Water ,528,95,100,85,108,70,70,Formidable Pokémon,1.5 m (4′11″),94.6 kg (208.6 lbs),1. TorrentShell Armor (hidden ability),3 Special Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),238,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
601,Patrat, ,Normal ,255,45,55,39,35,39,42,Scout Pokémon,0.5 m (1′08″),11.6 kg (25.6 lbs),1. Run Away2. Keen EyeAnalytic (hidden ability),1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),51,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
602,Watchog, ,Normal ,420,60,85,69,60,69,77,Lookout Pokémon,1.1 m (3′07″),27.0 kg (59.5 lbs),1. Illuminate2. Keen EyeAnalytic (hidden ability),2 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),147,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
603,Lillipup, ,Normal ,275,45,60,45,25,45,55,Puppy Pokémon,0.4 m (1′04″),4.1 kg (9.0 lbs),1. Vital Spirit2. PickupRun Away (hidden ability),1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),55,Medium Slow,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
604,Herdier, ,Normal ,370,65,80,65,35,65,60,Loyal Dog Pokémon,0.9 m (2′11″),14.7 kg (32.4 lbs),1. Intimidate2. Sand RushScrappy (hidden ability),2 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),130,Medium Slow,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
605,Stoutland, ,Normal ,500,85,110,90,45,90,80,Big-Hearted Pokémon,1.2 m (3′11″),61.0 kg (134.5 lbs),1. Intimidate2. Sand RushScrappy (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),225,Medium Slow,Field,"50% male, 50% female","15 (3,599–3,855 steps)"
606,Purrloin, ,Dark ,281,41,50,37,50,37,66,Devious Pokémon,0.4 m (1′04″),10.1 kg (22.3 lbs),1. Limber2. UnburdenPrankster (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
607,Liepard, ,Dark ,446,64,88,50,88,50,106,Cruel Pokémon,1.1 m (3′07″),37.5 kg (82.7 lbs),1. Limber2. UnburdenPrankster (hidden ability),2 Speed,"90 (11.8% with PokéBall, full HP)",50 (normal),156,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
608,Pansage, ,Grass ,316,50,53,48,53,48,64,Grass Monkey Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs),1. GluttonyOvergrow (hidden ability),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),63,Medium Fast,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
609,Simisage, ,Grass ,498,75,98,63,98,63,101,Thorn Monkey Pokémon,1.1 m (3′07″),30.5 kg (67.2 lbs),1. GluttonyOvergrow (hidden ability),2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),174,Medium Fast,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
610,Pansear, ,Fire ,316,50,53,48,53,48,64,High Temp Pokémon,0.6 m (2′00″),11.0 kg (24.3 lbs),1. GluttonyBlaze (hidden ability),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),63,Medium Fast,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
611,Simisear, ,Fire ,498,75,98,63,98,63,101,Ember Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),1. GluttonyBlaze (hidden ability),2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),174,Medium Fast,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
612,Panpour, ,Water ,316,50,53,48,53,48,64,Spray Pokémon,0.6 m (2′00″),13.5 kg (29.8 lbs),1. GluttonyTorrent (hidden ability),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),63,Medium Fast,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
613,Simipour, ,Water ,498,75,98,63,98,63,101,Geyser Pokémon,1.0 m (3′03″),29.0 kg (63.9 lbs),1. GluttonyTorrent (hidden ability),2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),174,Medium Fast,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)"
614,Munna, ,Psychic ,292,76,25,45,67,55,24,Dream Eater Pokémon,0.6 m (2′00″),23.3 kg (51.4 lbs),1. Forewarn2. SynchronizeTelepathy (hidden ability),1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),58,Fast,Field,"50% male, 50% female","10 (2,314–2,570 steps)"
615,Musharna, ,Psychic ,487,116,55,85,107,95,29,Drowsing Pokémon,1.1 m (3′07″),60.5 kg (133.4 lbs),1. Forewarn2. SynchronizeTelepathy (hidden ability),2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),170,Fast,Field,"50% male, 50% female","10 (2,314–2,570 steps)"
616,Pidove, ,Normal Flying,264,50,55,50,36,30,43,Tiny Pigeon Pokémon,0.3 m (1′00″),2.1 kg (4.6 lbs),1. Big Pecks2. Super LuckRivalry (hidden ability),1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),53,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
617,Tranquill, ,Normal Flying,358,62,77,62,50,42,65,Wild Pigeon Pokémon,0.6 m (2′00″),15.0 kg (33.1 lbs),1. Big Pecks2. Super LuckRivalry (hidden ability),2 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),125,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
618,Unfezant, ,Normal Flying,488,80,115,80,65,55,93,Proud Pokémon,1.2 m (3′11″),29.0 kg (63.9 lbs),1. Big Pecks2. Super LuckRivalry (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),220,Medium Slow,Flying,"50% male, 50% female","15 (3,599–3,855 steps)"
619,Blitzle, ,Electric ,295,45,60,32,50,32,76,Electrified Pokémon,0.8 m (2′07″),29.8 kg (65.7 lbs),1. Lightning Rod2. Motor DriveSap Sipper (hidden ability),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),59,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
620,Zebstrika, ,Electric ,497,75,100,63,80,63,116,Thunderbolt Pokémon,1.6 m (5′03″),79.5 kg (175.3 lbs),1. Lightning Rod2. Motor DriveSap Sipper (hidden ability),2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),174,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
621,Roggenrola, ,Rock ,280,55,75,85,25,25,15,Mantle Pokémon,0.4 m (1′04″),18.0 kg (39.7 lbs),1. Sturdy2. Weak ArmorSand Force (hidden ability),1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Slow,Mineral,"50% male, 50% female","15 (3,599–3,855 steps)"
622,Boldore, ,Rock ,390,70,105,105,50,40,20,Ore Pokémon,0.9 m (2′11″),102.0 kg (224.9 lbs),1. Sturdy2. Weak ArmorSand Force (hidden ability),"1 Attack, 1 Defense","120 (15.7% with PokéBall, full HP)",50 (normal),137,Medium Slow,Mineral,"50% male, 50% female","15 (3,599–3,855 steps)"
623,Gigalith, ,Rock ,515,85,135,130,60,80,25,Compressed Pokémon,1.7 m (5′07″),260.0 kg (573.2 lbs),1. Sturdy2. Sand StreamSand Force (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),232,Medium Slow,Mineral,"50% male, 50% female","15 (3,599–3,855 steps)"
624,Woobat, ,Psychic Flying,323,65,45,43,55,43,72,Bat Pokémon,0.4 m (1′04″),2.1 kg (4.6 lbs),1. Unaware2. KlutzSimple (hidden ability),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),65,Medium Fast,"Field, Flying","50% male, 50% female","15 (3,599–3,855 steps)"
625,Swoobat, ,Psychic Flying,425,67,57,55,77,55,114,Courting Pokémon,0.9 m (2′11″),10.5 kg (23.1 lbs),1. Unaware2. KlutzSimple (hidden ability),2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),149,Medium Fast,"Field, Flying","50% male, 50% female","15 (3,599–3,855 steps)"
626,Drilbur, ,Ground ,328,60,85,40,30,45,68,Mole Pokémon,0.3 m (1′00″),8.5 kg (18.7 lbs),1. Sand Rush2. Sand ForceMold Breaker (hidden ability),1 Attack,"120 (15.7% with PokéBall, full HP)",50 (normal),66,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
627,Excadrill, ,Ground Steel,508,110,135,60,50,65,88,Subterrene Pokémon,0.7 m (2′04″),40.4 kg (89.1 lbs),1. Sand Rush2. Sand ForceMold Breaker (hidden ability),2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),178,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)"
628,Audino, ,Normal ,445,103,60,86,60,86,50,Hearing Pokémon,1.1 m (3′07″),31.0 kg (68.3 lbs),1. Healer2. RegeneratorKlutz (hidden ability),2 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),390,Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)"
629,Audino,Mega Audino,Normal Fairy,545,103,60,126,80,126,50,Hearing Pokémon,1.1 m (3′07″),31.0 kg (68.3 lbs),1. Healer2. RegeneratorKlutz (hidden ability),2 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),390,Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)"
630,Timburr, ,Fighting ,305,75,80,55,25,35,35,Muscular Pokémon,0.6 m (2′00″),12.5 kg (27.6 lbs),1. Guts2. Sheer ForceIron Fist (hidden ability),1 Attack,"180 (23.5% with PokéBall, full HP)",70 (higher than normal),61,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)"
631,Gurdurr, ,Fighting ,405,85,105,85,40,50,40,Muscular Pokémon,1.2 m (3′11″),40.0 kg (88.2 lbs),1. Guts2. Sheer ForceIron Fist (hidden ability),2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),142,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)"
632,Conkeldurr, ,Fighting ,505,105,140,95,55,65,45,Muscular Pokémon,1.4 m (4′07″),87.0 kg (191.8 lbs),1. Guts2. Sheer ForceIron Fist (hidden ability),3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),227,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)"
633,Tympole, ,Water ,294,50,50,40,50,40,64,Tadpole Pokémon,0.5 m (1′08″),4.5 kg (9.9 lbs),1. Swift Swim2. HydrationWater Absorb (hidden ability),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),59,Medium Slow,Water 1,"50% male, 50% female","20 (4,884–5,140 steps)"
634,Palpitoad, ,Water Ground,384,75,65,55,65,55,69,Vibration Pokémon,0.8 m (2′07″),17.0 kg (37.5 lbs),1. Swift Swim2. HydrationWater Absorb (hidden ability),2 HP,"120 (15.7% with PokéBall, full HP)",50 (normal),134,Medium Slow,Water 1,"50% male, 50% female","20 (4,884–5,140 steps)"
635,Seismitoad, ,Water Ground,509,105,95,75,85,75,74,Vibration Pokémon,1.5 m (4′11″),62.0 kg (136.7 lbs),1. Swift Swim2. Poison TouchWater Absorb (hidden ability),3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),229,Medium Slow,Water 1,"50% male, 50% female","20 (4,884–5,140 steps)"
636,Throh, ,Fighting ,465,120,100,85,30,85,45,Judo Pokémon,1.3 m (4′03″),55.5 kg (122.4 lbs),1. Guts2. Inner FocusMold Breaker (hidden ability),2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),163,Medium Fast,Human-Like,"100% male, 0% female","20 (4,884–5,140 steps)"
637,Sawk, ,Fighting ,465,75,125,75,30,75,85,Karate Pokémon,1.4 m (4′07″),51.0 kg (112.4 lbs),1. Sturdy2. Inner FocusMold Breaker (hidden ability),2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),163,Medium Fast,Human-Like,"100% male, 0% female","20 (4,884–5,140 steps)"
638,Sewaddle, ,Bug Grass,310,45,53,70,40,60,42,Sewing Pokémon,0.3 m (1′00″),2.5 kg (5.5 lbs),1. Swarm2. ChlorophyllOvercoat (hidden ability),1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),62,Medium Slow,Bug,"50% male, 50% female","15 (3,599–3,855 steps)"
